name,ring,quadrant,isNew,description
.NET 8,Adopt,Languages & Frameworks,Yes,"Major LTS release with improved performance, Native AOT support, enhanced minimal APIs, and new middleware like output caching and rate limiting."
Azure DevOps,Adopt,Tools,No,"A mature, enterprise-grade suite for source control, CI/CD pipelines, agile planning, and test management. Deeply integrated with the Microsoft ecosystem and ideal for teams using the .NET stack."
Workday,Adopt,Platforms,No,"A leading cloud-based enterprise platform for human capital management (HCM), payroll, and financial planning. Widely adopted in large organizations for HR and finance operations."
GraphQL,Adopt,Techniques,No,"A query language and runtime for APIs that enables clients to request exactly the data they need. Ideal for modern frontend-backend communication, especially in microservices and BFF patterns."
OData,Assess,Techniques,No,"An open protocol for building and consuming RESTful APIs with standardized query options. Worth assessing for enterprise data services, especially if integrating with Microsoft products or requiring rich querying capabilities."
Kubernetes,Adopt,Platforms,No,"The leading container orchestration platform for deploying, scaling, and managing containerized applications. Core to modern cloud-native infrastructure and our primary compute hosting environment."
Specmatic,Assess,Tools,No,"A contract testing tool that automates consumer-driven contract tests for APIs using OpenAPI specs, helping ensure API compatibility and preventing integration issues."
Pact,Assess,Tools,No,"A popular contract testing framework supporting multiple languages to verify interactions between service consumers and providers, reducing integration risks."
Microsoft Fabric,Adopt,Platforms,No,"The integrated data analytics platform from Microsoft that consolidates Power BI, data engineering, and data science workloads. Adopted as part of the Power BI Premium migration to Fabric capacities."
Visual Studio,Adopt,Tools,No,"The full-featured, integrated development environment (IDE) from Microsoft widely used for .NET, C++, and other languages, providing comprehensive debugging, testing, and profiling tools."
Visual Studio Code,Adopt,Tools,No,"A lightweight, extensible, and cross-platform code editor favored by many developers for its speed, customizability, and rich ecosystem of extensions."
Mural,Adopt,Tools,No,"A collaborative online whiteboard platform used for brainstorming, workshops, and visual collaboration, enhancing remote team engagement and design thinking processes."
NiceCXOne,Adopt,Platforms,No,"A cloud-based customer experience platform offering omnichannel routing, workforce engagement, analytics, and automation to improve contact center operations and customer satisfaction."
Dynamics 365 CRM,Adopt,Platforms,No,"Microsoft’s cloud-hosted CRM solution providing sales, marketing, and customer service capabilities with seamless integration into the Microsoft 365 ecosystem, delivered as a scalable SaaS on Azure."
DocuWare,Adopt,Platforms,No,"A cloud and on-premises document management and workflow automation platform that helps organizations digitize, manage, and securely store documents and automate business processes."
DocuSign,Adopt,Platforms,No,"A widely used cloud-based platform for electronic signature, contract lifecycle management, and agreement automation, enabling secure and legally binding digital transactions."
FlexiCapture,Adopt,Platforms,No,"An AI-powered document processing platform that automates data extraction from structured and unstructured documents, enabling efficient digitization and workflow automation."
Freshdesk,Adopt,Platforms,No,"A cloud-based customer support platform offering ticketing, automation, self-service portals, and multi-channel support to streamline customer service operations."
TextEl,Assess,Platforms,No,"An SMS messaging platform integrated with NICE CXone to enable omnichannel customer engagement through text messaging, enhancing contact center communications."
Twilio SendGrid,Adopt,Platforms,No,"A cloud-based email delivery service used for transactional and marketing email notifications in application development, known for scalability, deliverability, and robust APIs."
HubSpot,Assess,Platforms,No,"An all-in-one inbound marketing, sales, and customer service platform that combines CRM, email marketing, and automation tools. Currently being evaluated for potential adoption."
WordPress,Adopt,Platforms,No,"A widely used open-source content management system powering our externally facing state websites, known for its extensibility, plugin ecosystem, and ease of content publishing."
